work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,exp_level,emp_type,salary_in_eur
2020,SE,FT,Machine Learning Manager,157000,CAD,117104,CA,50,CA,L,Senior-level,Full-time,113590
2021,MI,FT,Applied Data Scientist,68000,CAD,54238,GB,50,CA,L,Mid-level,Full-time,52610
2021,MI,FT,Research Scientist,235000,CAD,187442,CA,100,CA,L,Mid-level,Full-time,181818
2021,MI,FT,Data Scientist,95000,CAD,75774,CA,100,CA,L,Mid-level,Full-time,73500
2021,SE,FT,Data Science Engineer,159500,CAD,127221,CA,50,CA,L,Senior-level,Full-time,123404
2021,SE,FT,Research Scientist,120500,CAD,96113,CA,50,CA,L,Senior-level,Full-time,93229
2021,SE,FT,Machine Learning Scientist,225000,USD,225000,US,100,CA,L,Senior-level,Full-time,218250
2021,SE,FT,Data Scientist,110000,CAD,87738,CA,100,CA,S,Senior-level,Full-time,85105
2021,SE,FT,Data Analyst,90000,CAD,71786,CA,100,CA,M,Senior-level,Full-time,69632
2021,MI,FT,Research Scientist,80000,CAD,63810,CA,100,CA,M,Mid-level,Full-time,61895
2021,SE,FT,Data Scientist,130000,CAD,103691,CA,100,CA,L,Senior-level,Full-time,100580
2021,SE,FT,Big Data Architect,125000,CAD,99703,CA,50,CA,M,Senior-level,Full-time,96711
2022,SE,FT,Data Architect,192400,USD,192400,CA,100,CA,M,Senior-level,Full-time,186628
2022,SE,FT,Data Architect,90700,USD,90700,CA,100,CA,M,Senior-level,Full-time,87979
2022,SE,FT,Data Analyst,130000,USD,130000,CA,100,CA,M,Senior-level,Full-time,126100
2022,SE,FT,Data Analyst,61300,USD,61300,CA,100,CA,M,Senior-level,Full-time,59461
2022,SE,FT,Data Analyst,130000,USD,130000,CA,100,CA,M,Senior-level,Full-time,126100
2022,SE,FT,Data Analyst,61300,USD,61300,CA,100,CA,M,Senior-level,Full-time,59461
2022,EX,FT,Lead Data Engineer,150000,CAD,118187,CA,100,CA,S,Executive-level,Full-time,114641
2022,MI,FT,Machine Learning Developer,100000,CAD,78791,CA,100,CA,M,Mid-level,Full-time,76427
2022,EX,FT,Director of Data Science,250000,CAD,196979,CA,50,CA,L,Executive-level,Full-time,191069
2022,MI,FT,Principal Data Analyst,75000,USD,75000,CA,100,CA,S,Mid-level,Full-time,72750
2022,SE,FT,Machine Learning Developer,100000,CAD,78791,CA,100,CA,M,Senior-level,Full-time,76427
2022,EN,FT,Data Scientist,66500,CAD,52396,CA,100,CA,L,Entry-level,Full-time,50824
2022,MI,FT,Business Data Analyst,90000,CAD,70912,CA,50,CA,L,Mid-level,Full-time,68784
2022,MI,FT,Data Scientist,88000,CAD,69336,CA,100,CA,M,Mid-level,Full-time,67255
2022,MI,FT,Data Analyst,85000,USD,85000,CA,0,CA,M,Mid-level,Full-time,82450
2022,MI,FT,Data Analyst,75000,USD,75000,CA,0,CA,M,Mid-level,Full-time,72750
2022,EN,FT,Data Analyst,67000,USD,67000,CA,0,CA,M,Entry-level,Full-time,64990
2022,EN,FT,Data Analyst,52000,USD,52000,CA,0,CA,M,Entry-level,Full-time,50440
