work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,exp_level,emp_type,salary_in_eur
2020,EN,FT,Data Analyst,72000,USD,72000,US,100,US,L,Entry-level,Full-time,69840
2020,MI,FT,Data Analyst,85000,USD,85000,US,100,US,L,Mid-level,Full-time,82450
2020,MI,FT,Data Analyst,8000,USD,8000,PK,50,PK,L,Mid-level,Full-time,7760
2020,MI,FT,Data Analyst,41000,EUR,46759,FR,50,FR,L,Mid-level,Full-time,45356
2020,EN,FT,Data Analyst,10000,USD,10000,NG,100,NG,S,Entry-level,Full-time,9700
2020,EN,FT,Data Analyst,450000,INR,6072,IN,0,IN,S,Entry-level,Full-time,5889
2020,EN,FT,Data Analyst,91000,USD,91000,US,100,US,L,Entry-level,Full-time,88270
2021,EN,FT,Data Analyst,80000,USD,80000,US,100,US,M,Entry-level,Full-time,77600
2021,EN,FT,Data Analyst,50000,EUR,59102,FR,50,FR,M,Entry-level,Full-time,57328
2021,SE,FT,Data Analyst,80000,USD,80000,BG,100,US,S,Senior-level,Full-time,77600
2021,MI,FT,Data Analyst,75000,USD,75000,US,0,US,L,Mid-level,Full-time,72750
2021,MI,FT,Data Analyst,62000,USD,62000,US,0,US,L,Mid-level,Full-time,60140
2021,MI,FT,Data Analyst,37456,GBP,51519,GB,50,GB,L,Mid-level,Full-time,49973
2021,EN,FT,Data Analyst,90000,USD,90000,US,100,US,S,Entry-level,Full-time,87300
2021,EN,FT,Data Analyst,50000,USD,50000,US,100,US,M,Entry-level,Full-time,48500
2021,EN,PT,Data Analyst,8760,EUR,10354,ES,50,ES,M,Entry-level,Part-time,10043
2021,MI,FT,Data Analyst,90000,USD,90000,US,100,US,M,Mid-level,Full-time,87300
2021,MI,FT,Data Analyst,135000,USD,135000,US,100,US,L,Mid-level,Full-time,130950
2021,EN,FT,Data Analyst,60000,USD,60000,US,100,US,S,Entry-level,Full-time,58200
2021,SE,FT,Data Analyst,90000,CAD,71786,CA,100,CA,M,Senior-level,Full-time,69632
2021,SE,FT,Data Analyst,200000,USD,200000,US,100,US,L,Senior-level,Full-time,194000
2021,MI,FT,Data Analyst,80000,USD,80000,US,100,US,L,Mid-level,Full-time,77600
2021,MI,FT,Data Analyst,93000,USD,93000,US,100,US,L,Mid-level,Full-time,90210
2021,SE,FT,Data Analyst,54000,EUR,63831,DE,50,DE,L,Senior-level,Full-time,61916
2022,SE,FT,Data Analyst,155000,USD,155000,US,100,US,M,Senior-level,Full-time,150350
2022,SE,FT,Data Analyst,120600,USD,120600,US,100,US,M,Senior-level,Full-time,116982
2022,SE,FT,Data Analyst,102100,USD,102100,US,100,US,M,Senior-level,Full-time,99037
2022,SE,FT,Data Analyst,84900,USD,84900,US,100,US,M,Senior-level,Full-time,82353
2022,SE,FT,Data Analyst,99000,USD,99000,US,0,US,M,Senior-level,Full-time,96030
2022,SE,FT,Data Analyst,116000,USD,116000,US,0,US,M,Senior-level,Full-time,112520
2022,MI,FT,Data Analyst,106260,USD,106260,US,0,US,M,Mid-level,Full-time,103072
2022,MI,FT,Data Analyst,126500,USD,126500,US,0,US,M,Mid-level,Full-time,122705
2022,SE,FT,Data Analyst,90320,USD,90320,US,100,US,M,Senior-level,Full-time,87610
2022,SE,FT,Data Analyst,124190,USD,124190,US,100,US,M,Senior-level,Full-time,120464
2022,EX,FT,Data Analyst,130000,USD,130000,US,100,US,M,Executive-level,Full-time,126100
2022,EX,FT,Data Analyst,110000,USD,110000,US,100,US,M,Executive-level,Full-time,106700
2022,SE,FT,Data Analyst,170000,USD,170000,US,100,US,M,Senior-level,Full-time,164900
2022,MI,FT,Data Analyst,115500,USD,115500,US,100,US,M,Mid-level,Full-time,112035
2022,SE,FT,Data Analyst,112900,USD,112900,US,100,US,M,Senior-level,Full-time,109513
2022,SE,FT,Data Analyst,90320,USD,90320,US,100,US,M,Senior-level,Full-time,87610
2022,SE,FT,Data Analyst,112900,USD,112900,US,100,US,M,Senior-level,Full-time,109513
2022,SE,FT,Data Analyst,90320,USD,90320,US,100,US,M,Senior-level,Full-time,87610
2022,MI,FT,Data Analyst,167000,USD,167000,US,100,US,M,Mid-level,Full-time,161990
2022,SE,FT,Data Analyst,136600,USD,136600,US,100,US,M,Senior-level,Full-time,132502
2022,SE,FT,Data Analyst,109280,USD,109280,US,100,US,M,Senior-level,Full-time,106001
2022,SE,FT,Data Analyst,135000,USD,135000,US,100,US,M,Senior-level,Full-time,130950
2022,SE,FT,Data Analyst,130000,USD,130000,CA,100,CA,M,Senior-level,Full-time,126100
2022,SE,FT,Data Analyst,61300,USD,61300,CA,100,CA,M,Senior-level,Full-time,59461
2022,SE,FT,Data Analyst,130000,USD,130000,CA,100,CA,M,Senior-level,Full-time,126100
2022,SE,FT,Data Analyst,61300,USD,61300,CA,100,CA,M,Senior-level,Full-time,59461
2022,MI,FT,Data Analyst,58000,USD,58000,US,0,US,S,Mid-level,Full-time,56260
2022,SE,FT,Data Analyst,132000,USD,132000,US,0,US,M,Senior-level,Full-time,128040
2022,SE,FT,Data Analyst,128875,USD,128875,US,100,US,M,Senior-level,Full-time,125008
2022,SE,FT,Data Analyst,93700,USD,93700,US,100,US,M,Senior-level,Full-time,90889
2022,SE,FT,Data Analyst,164000,USD,164000,US,0,US,M,Senior-level,Full-time,159080
2022,SE,FT,Data Analyst,112900,USD,112900,US,100,US,M,Senior-level,Full-time,109513
2022,SE,FT,Data Analyst,90320,USD,90320,US,100,US,M,Senior-level,Full-time,87610
2022,SE,FT,Data Analyst,115934,USD,115934,US,0,US,M,Senior-level,Full-time,112455
2022,SE,FT,Data Analyst,81666,USD,81666,US,0,US,M,Senior-level,Full-time,79216
2022,MI,FT,Data Analyst,58000,USD,58000,US,0,US,S,Mid-level,Full-time,56260
2022,MI,FT,Data Analyst,40000,GBP,52351,GB,100,GB,M,Mid-level,Full-time,50780
2022,MI,FT,Data Analyst,30000,GBP,39263,GB,100,GB,M,Mid-level,Full-time,38085
2022,MI,FT,Data Analyst,40000,EUR,43966,ES,100,ES,M,Mid-level,Full-time,42647
2022,MI,FT,Data Analyst,30000,EUR,32974,ES,100,ES,M,Mid-level,Full-time,31984
2022,MI,FT,Data Analyst,40000,EUR,43966,GR,100,GR,M,Mid-level,Full-time,42647
2022,MI,FT,Data Analyst,30000,EUR,32974,GR,100,GR,M,Mid-level,Full-time,31984
2022,MI,FT,Data Analyst,135000,USD,135000,US,100,US,M,Mid-level,Full-time,130950
2022,MI,FT,Data Analyst,50000,USD,50000,US,100,US,M,Mid-level,Full-time,48500
2022,MI,FT,Data Analyst,20000,USD,20000,GR,100,GR,S,Mid-level,Full-time,19400
2022,SE,FT,Data Analyst,135000,USD,135000,US,100,US,M,Senior-level,Full-time,130950
2022,SE,FT,Data Analyst,100000,USD,100000,US,100,US,M,Senior-level,Full-time,97000
2022,SE,FT,Data Analyst,90320,USD,90320,US,100,US,M,Senior-level,Full-time,87610
2022,MI,FT,Data Analyst,85000,USD,85000,CA,0,CA,M,Mid-level,Full-time,82450
2022,MI,FT,Data Analyst,75000,USD,75000,CA,0,CA,M,Mid-level,Full-time,72750
2022,SE,FT,Data Analyst,112900,USD,112900,US,100,US,M,Senior-level,Full-time,109513
2022,SE,FT,Data Analyst,115934,USD,115934,US,100,US,M,Senior-level,Full-time,112455
2022,SE,FT,Data Analyst,81666,USD,81666,US,100,US,M,Senior-level,Full-time,79216
2022,SE,FT,Data Analyst,99050,USD,99050,US,100,US,M,Senior-level,Full-time,96078
2022,SE,FT,Data Analyst,116150,USD,116150,US,100,US,M,Senior-level,Full-time,112665
2022,SE,FT,Data Analyst,170000,USD,170000,US,100,US,M,Senior-level,Full-time,164900
2022,MI,FT,Data Analyst,50000,GBP,65438,GB,0,GB,M,Mid-level,Full-time,63474
2022,SE,FT,Data Analyst,80000,USD,80000,US,100,US,M,Senior-level,Full-time,77600
2022,SE,FT,Data Analyst,100000,USD,100000,US,100,US,M,Senior-level,Full-time,97000
2022,SE,FT,Data Analyst,69000,USD,69000,US,100,US,M,Senior-level,Full-time,66930
2022,SE,FT,Data Analyst,150075,USD,150075,US,100,US,M,Senior-level,Full-time,145572
2022,SE,FT,Data Analyst,126500,USD,126500,US,100,US,M,Senior-level,Full-time,122705
2022,SE,FT,Data Analyst,106260,USD,106260,US,100,US,M,Senior-level,Full-time,103072
2022,SE,FT,Data Analyst,105000,USD,105000,US,100,US,M,Senior-level,Full-time,101850
2022,SE,FT,Data Analyst,110925,USD,110925,US,100,US,M,Senior-level,Full-time,107597
2022,MI,FT,Data Analyst,35000,GBP,45807,GB,0,GB,M,Mid-level,Full-time,44432
2022,SE,FT,Data Analyst,99000,USD,99000,US,0,US,M,Senior-level,Full-time,96030
2022,SE,FT,Data Analyst,60000,USD,60000,US,100,US,M,Senior-level,Full-time,58200
2022,SE,FT,Data Analyst,170000,USD,170000,US,100,US,M,Senior-level,Full-time,164900
2022,EN,FT,Data Analyst,67000,USD,67000,CA,0,CA,M,Entry-level,Full-time,64990
2022,EN,FT,Data Analyst,52000,USD,52000,CA,0,CA,M,Entry-level,Full-time,50440
2022,SE,FT,Data Analyst,129000,USD,129000,US,0,US,M,Senior-level,Full-time,125130
2022,SE,FT,Data Analyst,150000,USD,150000,US,100,US,M,Senior-level,Full-time,145500
