work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,exp_level,emp_type,salary_in_eur
2020,EN,FT,Data Engineer,4450000,JPY,41689,JP,100,JP,S,Entry-level,Full-time,40438
2020,SE,FT,Data Engineer,42000,EUR,47899,GR,50,GR,L,Senior-level,Full-time,46462
2020,SE,FT,Data Engineer,720000,MXN,33511,MX,0,MX,S,Senior-level,Full-time,32505
2020,MI,FT,Data Engineer,65000,EUR,74130,AT,50,AT,L,Mid-level,Full-time,71906
2020,MI,FT,Data Engineer,106000,USD,106000,US,100,US,L,Mid-level,Full-time,102820
2020,MI,FT,Data Engineer,88000,GBP,112872,GB,50,GB,L,Mid-level,Full-time,109485
2020,SE,FT,Data Engineer,188000,USD,188000,US,100,US,L,Senior-level,Full-time,182360
2020,MI,FT,Data Engineer,61500,EUR,70139,FR,50,FR,L,Mid-level,Full-time,68034
2020,EN,FT,Data Engineer,48000,EUR,54742,PK,100,DE,L,Entry-level,Full-time,53099
2020,MI,FT,Data Engineer,110000,USD,110000,US,100,US,L,Mid-level,Full-time,106700
2020,MI,FT,Data Engineer,130800,USD,130800,ES,100,US,M,Mid-level,Full-time,126876
2021,MI,FT,Data Engineer,140000,USD,140000,US,100,US,L,Mid-level,Full-time,135800
2021,MI,FT,Data Engineer,110000,PLN,28476,PL,100,PL,L,Mid-level,Full-time,27621
2021,SE,FT,Data Engineer,150000,USD,150000,US,100,US,L,Senior-level,Full-time,145500
2021,SE,FT,Data Engineer,115000,USD,115000,US,100,US,S,Senior-level,Full-time,111550
2021,SE,FT,Data Engineer,150000,USD,150000,US,100,US,M,Senior-level,Full-time,145500
2021,EN,FT,Data Engineer,2250000,INR,30428,IN,100,IN,L,Entry-level,Full-time,29515
2021,MI,FT,Data Engineer,38400,EUR,45391,NL,100,NL,L,Mid-level,Full-time,44029
2021,MI,FT,Data Engineer,200000,USD,200000,US,100,US,L,Mid-level,Full-time,194000
2021,MI,FT,Data Engineer,100000,USD,100000,US,100,US,L,Mid-level,Full-time,97000
2021,MI,FT,Data Engineer,90000,USD,90000,US,100,US,L,Mid-level,Full-time,87300
2021,MI,FT,Data Engineer,24000,EUR,28369,MT,50,MT,L,Mid-level,Full-time,27517
2021,EN,FT,Data Engineer,80000,USD,80000,US,100,US,L,Entry-level,Full-time,77600
2021,MI,FT,Data Engineer,60000,GBP,82528,GB,100,GB,L,Mid-level,Full-time,80052
2021,MI,FT,Data Engineer,22000,EUR,26005,RO,0,US,L,Mid-level,Full-time,25224
2021,MI,FT,Data Engineer,4000,USD,4000,IR,100,IR,M,Mid-level,Full-time,3880
2021,SE,FT,Data Engineer,65000,EUR,76833,RO,50,GB,S,Senior-level,Full-time,74528
2021,SE,FT,Data Engineer,165000,USD,165000,US,0,US,M,Senior-level,Full-time,160050
2021,MI,FL,Data Engineer,20000,USD,20000,IT,0,US,L,Mid-level,Freelance,19400
2021,MI,FT,Data Engineer,48000,GBP,66022,HK,50,GB,S,Mid-level,Full-time,64041
2021,EN,FT,Data Engineer,1600000,INR,21637,IN,50,IN,M,Entry-level,Full-time,20987
2021,MI,FT,Data Engineer,110000,USD,110000,US,100,US,L,Mid-level,Full-time,106700
2021,MI,FT,Data Engineer,52500,GBP,72212,GB,50,GB,L,Mid-level,Full-time,70045
2021,MI,FT,Data Engineer,108000,TRY,12103,TR,0,TR,M,Mid-level,Full-time,11739
2021,SE,FT,Data Engineer,70000,GBP,96282,GB,50,GB,L,Senior-level,Full-time,93393
