work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,exp_level,emp_type,salary_in_eur
2020,MI,FT,Data Scientist,70000,EUR,79833,DE,0,DE,L,Mid-level,Full-time,77438
2020,MI,FT,Data Scientist,11000000,HUF,35735,HU,50,HU,L,Mid-level,Full-time,34662
2020,EN,FT,Data Scientist,45000,EUR,51321,FR,0,FR,S,Entry-level,Full-time,49781
2020,MI,FT,Data Scientist,3000000,INR,40481,IN,0,IN,L,Mid-level,Full-time,39266
2020,EN,FT,Data Scientist,35000,EUR,39916,FR,0,FR,M,Entry-level,Full-time,38718
2020,SE,FT,Data Scientist,60000,EUR,68428,GR,100,US,L,Senior-level,Full-time,66375
2020,MI,FT,Data Scientist,45760,USD,45760,PH,100,US,S,Mid-level,Full-time,44387
2020,MI,FT,Data Scientist,60000,GBP,76958,GB,100,GB,S,Mid-level,Full-time,74649
2020,MI,FT,Data Scientist,105000,USD,105000,US,100,US,L,Mid-level,Full-time,101850
2020,MI,FT,Data Scientist,34000,EUR,38776,ES,100,ES,M,Mid-level,Full-time,37612
2020,MI,FT,Data Scientist,118000,USD,118000,US,100,US,M,Mid-level,Full-time,114460
2020,SE,FT,Data Scientist,120000,USD,120000,US,50,US,L,Senior-level,Full-time,116400
2020,MI,FT,Data Scientist,138350,USD,138350,US,100,US,M,Mid-level,Full-time,134199
2020,EN,PT,Data Scientist,19000,EUR,21669,IT,50,IT,S,Entry-level,Part-time,21018
2020,SE,FT,Data Scientist,412000,USD,412000,US,100,US,L,Senior-level,Full-time,399640
2020,EN,FT,Data Scientist,55000,EUR,62726,DE,50,DE,S,Entry-level,Full-time,60844
2020,EN,FT,Data Scientist,43200,EUR,49268,DE,0,DE,S,Entry-level,Full-time,47789
2020,EN,FT,Data Scientist,105000,USD,105000,US,100,US,S,Entry-level,Full-time,101850
2020,SE,FT,Data Scientist,80000,EUR,91237,AT,0,AT,S,Senior-level,Full-time,88499
2020,MI,FT,Data Scientist,55000,EUR,62726,FR,50,LU,S,Mid-level,Full-time,60844
2020,MI,FT,Data Scientist,37000,EUR,42197,FR,50,FR,S,Mid-level,Full-time,40931
2021,SE,FT,Data Scientist,45000,EUR,53192,FR,50,FR,L,Senior-level,Full-time,51596
2021,EN,FT,Data Scientist,2200000,INR,29751,IN,50,IN,L,Entry-level,Full-time,28858
2021,MI,FT,Data Scientist,73000,USD,73000,US,0,US,L,Mid-level,Full-time,70810
2021,MI,FT,Data Scientist,50000,USD,50000,NG,100,NG,L,Mid-level,Full-time,48500
2021,MI,FT,Data Scientist,700000,INR,9466,IN,0,IN,S,Mid-level,Full-time,9182
2021,EN,FT,Data Scientist,42000,EUR,49646,FR,50,FR,M,Entry-level,Full-time,48156
2021,EN,FT,Data Scientist,100000,USD,100000,US,0,US,S,Entry-level,Full-time,97000
2021,EN,FT,Data Scientist,80000,USD,80000,US,100,US,M,Entry-level,Full-time,77600
2021,MI,FT,Data Scientist,82500,USD,82500,US,100,US,S,Mid-level,Full-time,80025
2021,MI,FT,Data Scientist,150000,USD,150000,US,100,US,M,Mid-level,Full-time,145500
2021,MI,FT,Data Scientist,95000,CAD,75774,CA,100,CA,L,Mid-level,Full-time,73500
2021,EN,FT,Data Scientist,13400,USD,13400,UA,100,UA,L,Entry-level,Full-time,12998
2021,MI,FT,Data Scientist,160000,SGD,119059,SG,100,IL,M,Mid-level,Full-time,115487
2021,MI,FT,Data Scientist,58000,MXN,2859,MX,0,MX,S,Mid-level,Full-time,2773
2021,MI,FT,Data Scientist,30400000,CLP,40038,CL,100,CL,L,Mid-level,Full-time,38836
2021,MI,FT,Data Scientist,420000,INR,5679,IN,100,US,S,Mid-level,Full-time,5508
2021,MI,FT,Data Scientist,76760,EUR,90734,DE,50,DE,L,Mid-level,Full-time,88011
2021,MI,FT,Data Scientist,147000,USD,147000,US,50,US,L,Mid-level,Full-time,142590
2021,MI,FT,Data Scientist,52000,EUR,61467,DE,50,AT,M,Mid-level,Full-time,59622
2021,MI,FT,Data Scientist,32000,EUR,37825,ES,100,ES,L,Mid-level,Full-time,36690
2021,MI,FT,Data Scientist,160000,USD,160000,US,100,US,L,Mid-level,Full-time,155200
2021,MI,FT,Data Scientist,69600,BRL,12901,BR,0,BR,S,Mid-level,Full-time,12513
2021,MI,FT,Data Scientist,76760,EUR,90734,DE,50,DE,L,Mid-level,Full-time,88011
2021,MI,FT,Data Scientist,85000,GBP,116914,GB,50,GB,L,Mid-level,Full-time,113406
2021,MI,FT,Data Scientist,2500000,INR,33808,IN,0,IN,M,Mid-level,Full-time,32793
2021,MI,FT,Data Scientist,40900,GBP,56256,GB,50,GB,L,Mid-level,Full-time,54568
2021,SE,FT,Data Scientist,110000,CAD,87738,CA,100,CA,S,Senior-level,Full-time,85105
2021,MI,FT,Data Scientist,75000,EUR,88654,DE,50,DE,L,Mid-level,Full-time,85994
2021,SE,FT,Data Scientist,135000,USD,135000,US,0,US,L,Senior-level,Full-time,130950
2021,MI,FT,Data Scientist,39600,EUR,46809,ES,100,ES,M,Mid-level,Full-time,45404
2021,EN,FT,Data Scientist,4000,USD,4000,VN,0,VN,M,Entry-level,Full-time,3880
2021,SE,FT,Data Scientist,130000,CAD,103691,CA,100,CA,L,Senior-level,Full-time,100580
2021,SE,FT,Data Scientist,165000,USD,165000,US,100,US,L,Senior-level,Full-time,160050
2021,EN,FT,Data Scientist,31000,EUR,36643,FR,50,FR,L,Entry-level,Full-time,35543
2021,MI,FT,Data Scientist,115000,USD,115000,US,50,US,L,Mid-level,Full-time,111550
2021,EN,FT,Data Scientist,90000,USD,90000,US,100,US,S,Entry-level,Full-time,87300
