work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,exp_level,emp_type,salary_in_eur
2020,SE,FT,Big Data Engineer,85000,GBP,109024,GB,50,GB,M,Senior-level,Full-time,105753
2020,SE,FT,Big Data Engineer,100000,EUR,114047,PL,100,GB,S,Senior-level,Full-time,110625
2020,MI,FT,Data Engineer,88000,GBP,112872,GB,50,GB,L,Mid-level,Full-time,109485
2020,MI,FT,Data Scientist,60000,GBP,76958,GB,100,GB,S,Mid-level,Full-time,74649
2021,EN,FT,Research Scientist,60000,GBP,82528,GB,50,GB,L,Entry-level,Full-time,80052
2021,MI,FT,Data Analyst,37456,GBP,51519,GB,50,GB,L,Mid-level,Full-time,49973
2021,SE,FT,Director of Data Engineering,82500,GBP,113476,GB,100,GB,M,Senior-level,Full-time,110071
2021,SE,FT,Lead Data Engineer,75000,GBP,103160,GB,100,GB,S,Senior-level,Full-time,100065
2021,EN,FT,Applied Data Scientist,80000,GBP,110037,GB,0,GB,L,Entry-level,Full-time,106735
2021,MI,FT,Data Engineer,60000,GBP,82528,GB,100,GB,L,Mid-level,Full-time,80052
2021,SE,FT,Finance Data Analyst,45000,GBP,61896,GB,50,GB,L,Senior-level,Full-time,60039
2021,SE,FT,Data Analytics Engineer,50000,USD,50000,VN,100,GB,M,Senior-level,Full-time,48500
2021,SE,FT,Data Engineer,65000,EUR,76833,RO,50,GB,S,Senior-level,Full-time,74528
2021,MI,FT,Data Engineer,48000,GBP,66022,HK,50,GB,S,Mid-level,Full-time,64041
2021,MI,FT,Data Scientist,85000,GBP,116914,GB,50,GB,L,Mid-level,Full-time,113406
2021,MI,FT,Data Scientist,40900,GBP,56256,GB,50,GB,L,Mid-level,Full-time,54568
2021,MI,FT,Data Engineer,52500,GBP,72212,GB,50,GB,L,Mid-level,Full-time,70045
2021,SE,FT,Data Engineer,70000,GBP,96282,GB,50,GB,L,Senior-level,Full-time,93393
2022,SE,FT,Data Scientist,90000,GBP,117789,GB,0,GB,M,Senior-level,Full-time,114255
2022,SE,FT,Data Scientist,80000,GBP,104702,GB,0,GB,M,Senior-level,Full-time,101560
2022,EN,FT,Data Engineer,40000,GBP,52351,GB,100,GB,M,Entry-level,Full-time,50780
2022,MI,FT,Data Scientist,50000,GBP,65438,GB,0,GB,M,Mid-level,Full-time,63474
2022,MI,FT,Data Scientist,30000,GBP,39263,GB,0,GB,M,Mid-level,Full-time,38085
2022,MI,FT,Data Engineer,60000,GBP,78526,GB,0,GB,M,Mid-level,Full-time,76170
2022,MI,FT,Data Engineer,40000,GBP,52351,GB,0,GB,M,Mid-level,Full-time,50780
2022,EN,FT,Data Engineer,35000,GBP,45807,GB,100,GB,M,Entry-level,Full-time,44432
2022,SE,FT,Data Engineer,60000,GBP,78526,GB,0,GB,M,Senior-level,Full-time,76170
2022,SE,FT,Data Engineer,50000,GBP,65438,GB,0,GB,M,Senior-level,Full-time,63474
2022,EN,FT,Machine Learning Engineer,28500,GBP,37300,GB,100,GB,L,Entry-level,Full-time,36181
2022,MI,FT,Machine Learning Engineer,95000,GBP,124333,GB,0,GB,M,Mid-level,Full-time,120603
2022,MI,FT,Machine Learning Engineer,75000,GBP,98158,GB,0,GB,M,Mid-level,Full-time,95213
2022,MI,FT,Data Engineer,90000,GBP,117789,GB,0,GB,M,Mid-level,Full-time,114255
2022,MI,FT,Data Engineer,75000,GBP,98158,GB,0,GB,M,Mid-level,Full-time,95213
2022,MI,FT,Data Analyst,40000,GBP,52351,GB,100,GB,M,Mid-level,Full-time,50780
2022,MI,FT,Data Scientist,55000,GBP,71982,GB,0,GB,M,Mid-level,Full-time,69822
2022,MI,FT,Data Scientist,35000,GBP,45807,GB,0,GB,M,Mid-level,Full-time,44432
2022,MI,FT,Data Engineer,60000,GBP,78526,GB,100,GB,M,Mid-level,Full-time,76170
2022,MI,FT,Data Engineer,45000,GBP,58894,GB,100,GB,M,Mid-level,Full-time,57127
2022,MI,FT,Data Analyst,30000,GBP,39263,GB,100,GB,M,Mid-level,Full-time,38085
2022,MI,FT,Data Engineer,80000,GBP,104702,GB,100,GB,M,Mid-level,Full-time,101560
2022,MI,FT,Data Engineer,70000,GBP,91614,GB,100,GB,M,Mid-level,Full-time,88865
2022,MI,FT,Data Engineer,75000,GBP,98158,GB,100,GB,M,Mid-level,Full-time,95213
2022,MI,FT,Data Engineer,60000,GBP,78526,GB,100,GB,M,Mid-level,Full-time,76170
2022,MI,FT,Data Scientist,140000,GBP,183228,GB,0,GB,M,Mid-level,Full-time,177731
2022,MI,FT,Data Scientist,70000,GBP,91614,GB,0,GB,M,Mid-level,Full-time,88865
2022,MI,FT,Data Analyst,50000,GBP,65438,GB,0,GB,M,Mid-level,Full-time,63474
2022,MI,FT,Data Analyst,35000,GBP,45807,GB,0,GB,M,Mid-level,Full-time,44432
