work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,exp_level,emp_type,salary_in_eur
2020,SE,FT,Machine Learning Engineer,150000,USD,150000,US,50,US,L,Senior-level,Full-time,145500
2020,EN,FT,Data Analyst,72000,USD,72000,US,100,US,L,Entry-level,Full-time,69840
2020,SE,FT,Lead Data Scientist,190000,USD,190000,US,100,US,S,Senior-level,Full-time,184300
2020,MI,FT,Business Data Analyst,135000,USD,135000,US,100,US,L,Mid-level,Full-time,130950
2020,MI,FT,Lead Data Analyst,87000,USD,87000,US,100,US,L,Mid-level,Full-time,84390
2020,MI,FT,Data Analyst,85000,USD,85000,US,100,US,L,Mid-level,Full-time,82450
2020,MI,FT,Lead Data Engineer,56000,USD,56000,PT,100,US,M,Mid-level,Full-time,54320
2020,MI,FT,BI Data Analyst,98000,USD,98000,US,0,US,M,Mid-level,Full-time,95060
2020,EX,FT,Director of Data Science,325000,USD,325000,US,100,US,L,Executive-level,Full-time,315250
2020,EN,CT,Business Data Analyst,100000,USD,100000,US,100,US,L,Entry-level,Contract,97000
2020,EN,FT,Big Data Engineer,70000,USD,70000,US,100,US,L,Entry-level,Full-time,67900
2020,SE,FT,Data Scientist,60000,EUR,68428,GR,100,US,L,Senior-level,Full-time,66375
2020,MI,FT,Research Scientist,450000,USD,450000,US,0,US,M,Mid-level,Full-time,436500
2020,MI,FT,Data Science Consultant,103000,USD,103000,US,100,US,L,Mid-level,Full-time,99910
2020,EN,FT,Machine Learning Engineer,250000,USD,250000,US,50,US,L,Entry-level,Full-time,242500
2020,EN,FT,Machine Learning Engineer,138000,USD,138000,US,100,US,S,Entry-level,Full-time,133860
2020,MI,FT,Data Scientist,45760,USD,45760,PH,100,US,S,Mid-level,Full-time,44387
2020,MI,FT,Data Engineer,106000,USD,106000,US,100,US,L,Mid-level,Full-time,102820
2020,SE,FT,Data Engineer,188000,USD,188000,US,100,US,L,Senior-level,Full-time,182360
2020,MI,FT,Data Scientist,105000,USD,105000,US,100,US,L,Mid-level,Full-time,101850
2020,EN,FT,Data Analyst,91000,USD,91000,US,100,US,L,Entry-level,Full-time,88270
2020,SE,FL,Computer Vision Engineer,60000,USD,60000,RU,100,US,S,Senior-level,Freelance,58200
2020,MI,FT,Data Scientist,118000,USD,118000,US,100,US,M,Mid-level,Full-time,114460
2020,SE,FT,Data Scientist,120000,USD,120000,US,50,US,L,Senior-level,Full-time,116400
2020,MI,FT,Data Scientist,138350,USD,138350,US,100,US,M,Mid-level,Full-time,134199
2020,MI,FT,Data Engineer,110000,USD,110000,US,100,US,L,Mid-level,Full-time,106700
2020,MI,FT,Data Engineer,130800,USD,130800,ES,100,US,M,Mid-level,Full-time,126876
2020,SE,FT,Data Scientist,412000,USD,412000,US,100,US,L,Senior-level,Full-time,399640
2020,SE,FT,Data Science Manager,190200,USD,190200,US,100,US,M,Senior-level,Full-time,184494
2020,EN,FT,Data Scientist,105000,USD,105000,US,100,US,S,Entry-level,Full-time,101850
2021,EX,FT,BI Data Analyst,150000,USD,150000,IN,100,US,L,Executive-level,Full-time,145500
2021,EX,FT,Head of Data,235000,USD,235000,US,100,US,L,Executive-level,Full-time,227950
2021,MI,FT,BI Data Analyst,100000,USD,100000,US,100,US,M,Mid-level,Full-time,97000
2021,MI,CT,ML Engineer,270000,USD,270000,US,100,US,L,Mid-level,Contract,261900
2021,EN,FT,Data Analyst,80000,USD,80000,US,100,US,M,Entry-level,Full-time,77600
2021,MI,FT,Data Engineer,140000,USD,140000,US,100,US,L,Mid-level,Full-time,135800
2021,MI,FT,Data Analytics Engineer,110000,USD,110000,US,100,US,L,Mid-level,Full-time,106700
2021,SE,FT,Lead Data Analyst,170000,USD,170000,US,100,US,L,Senior-level,Full-time,164900
2021,SE,FT,Data Analyst,80000,USD,80000,BG,100,US,S,Senior-level,Full-time,77600
2021,SE,FT,Lead Data Engineer,276000,USD,276000,US,0,US,L,Senior-level,Full-time,267720
2021,EN,PT,AI Scientist,12000,USD,12000,BR,100,US,S,Entry-level,Part-time,11640
2021,MI,FT,Financial Data Analyst,450000,USD,450000,US,100,US,L,Mid-level,Full-time,436500
2021,EN,FT,Computer Vision Software Engineer,70000,USD,70000,US,100,US,M,Entry-level,Full-time,67900
2021,MI,FT,Computer Vision Software Engineer,81000,EUR,95746,DE,100,US,S,Mid-level,Full-time,92873
2021,MI,FT,Data Analyst,75000,USD,75000,US,0,US,L,Mid-level,Full-time,72750
2021,SE,FT,Data Engineer,150000,USD,150000,US,100,US,L,Senior-level,Full-time,145500
2021,MI,FT,BI Data Analyst,11000000,HUF,36259,HU,50,US,L,Mid-level,Full-time,35171
2021,MI,FT,Data Analyst,62000,USD,62000,US,0,US,L,Mid-level,Full-time,60140
2021,MI,FT,Data Scientist,73000,USD,73000,US,0,US,L,Mid-level,Full-time,70810
2021,SE,FT,Data Engineer,115000,USD,115000,US,100,US,S,Senior-level,Full-time,111550
2021,SE,FT,Data Engineer,150000,USD,150000,US,100,US,M,Senior-level,Full-time,145500
2021,EN,PT,AI Scientist,12000,USD,12000,PK,100,US,M,Entry-level,Part-time,11640
2021,EN,FT,Machine Learning Scientist,225000,USD,225000,US,100,US,L,Entry-level,Full-time,218250
